,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,788,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89764912794.4809,89764966952.28033,True,,11,71659659264.0,5760548798.771472,,2023-07-17T07:39:00.000Z,0.08038761079715914,141093408.9658336,-6.9166,0.06634663,0.64980708,4.05460839,13.02599733,13.99643178,21.45008297,7215986872.963661,0.5943,7215991226.58,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
11,2,Litecoin,LTC,litecoin,947,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73379989.22743528,84000000.0,False,,12,,,,2023-07-17T07:39:00.000Z,93.04503855869258,416579405.21030456,20.4838,-0.04399521,-1.99850141,-0.48090803,20.45367011,0.12478321,-8.38499987,6827643927.103162,0.5623,7815783238.93,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
12,6636,Polkadot,DOT,polkadot-new,533,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1220988738.640449,1334919401.9011517,True,,13,,,,2023-07-17T07:39:00.000Z,5.388990008805028,112387517.37626888,-4.5903,-0.13706503,-0.16654237,6.59080848,19.48936553,-0.62712043,-21.02979195,6579896113.396834,0.5419,7193867319.41,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
13,5805,Avalanche,AVAX,avalanche,465,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'layer-1']",720000000.0,345869700.34000015,432589150.34000015,False,,14,,,,2023-07-17T07:39:00.000Z,14.541305104487313,121099910.94859132,-32.8564,0.05536445,-0.88821932,8.94521401,24.11946445,-3.18053255,-31.94748084,5029396839.041541,0.4142,10469739675.23,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
14,1831,Bitcoin Cash,BCH,bitcoin-cash,729,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19450818.75,19450818.75,False,,15,,,,2023-07-17T07:39:00.000Z,251.78952616131284,297011973.0429368,-22.6314,-0.01938986,-1.91253533,-5.28084652,133.98986961,115.00106647,89.40050274,4897512436.512079,0.4033,5287580049.39,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
15,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1291,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem']",,157974.77678619,157974.77678619,False,,16,,,,2023-07-17T07:39:00.000Z,30285.575934653152,59683657.56637745,-13.8228,-0.03640562,0.01824194,-1.4906421,13.81577999,11.12303108,1.78771873,4784357098.118039,0.394,4784357098.12,,2023-07-17T07:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-07-17 07:41:14.540706
16,11419,Toncoin,TON,toncoin,119,2021-08-26T13:40:22.000Z,"['pos', 'alleged-sec-securities']",,3431892087.62,5047558528.0,True,,17,3414166606.0,4657233486.489117,,2023-07-17T07:39:00.000Z,1.3640908672425567,6142423.18538021,-4.2167,0.17735608,0.7146511,-0.20874811,-3.63386194,-30.43680124,-40.79814795,4681412654.084434,0.3856,6885328489.92,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
17,5994,Shiba Inu,SHIB,shiba-inu,564,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,18,,,,2023-07-17T07:39:00.000Z,7.938273744281203e-06,99023670.9812772,-41.411,-0.37326077,-1.28535261,5.15482506,15.04253747,-9.69326726,-31.22631672,4678397138.690769,0.3853,4680319198.05,,2023-07-17T07:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-07-17 07:41:14.540706
18,4943,Dai,DAI,multi-collateral-dai,2455,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,4657895216.279492,4657895216.279492,True,,19,,,,2023-07-17T07:39:00.000Z,0.9996287773184706,104172344.78415799,87.5592,0.00540805,-0.03575268,0.01257335,-0.01330967,-0.03309709,-0.05587207,4656166099.927022,0.3834,4656166099.93,,2023-07-17T07:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-07-17 07:41:14.540706
19,4687,Binance USD,BUSD,binance-usd,7013,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem', 'alleged-sec-securities']",,3962206648.279097,3962206648.279097,True,,20,,,,2023-07-17T07:39:00.000Z,1.0001620873473676,1678776774.548666,-5.1305,0.01180259,0.00119897,0.02268639,0.01315157,0.01143082,0.01743754,3962848871.8444386,0.3264,3962848871.84,,2023-07-17T07:39:00.000Z,1839.0,BNB Beacon Chain (BEP2),BNB,bnb,BUSD-BD1,2023-07-17 07:41:14.540706
